node_id,x_coord,y_coord,is_source
0,0.0,0.0,true
1,2.3,1.1,false
2,4.0,-0.5,false
3,-1.2,3.0,false
4,3.5,3.2,false
5,-2.0,-1.5,false
6,1.0,-3.0,false
7,28.41,49.65,true
8,8.64,-35.31,true
9,-28.25,-41.34,true
10,23.69,47.37,false
11,31.41,16.27,false
12,-44.62,47.92,false
13,-14.58,31.62,false
14,34.13,-40.0,false
15,45.9,15.17,false
16,-30.49,30.39,false
17,0.31,-37.47,false
18,30.58,17.24,false
19,-23.54,4.38,false
20,36.88,-20.76,false
21,-47.47,-30.04,false
22,37.02,23.05,false
23,33.53,32.47,false
24,30.0,-38.84,false
25,34.29,-1.18,false
26,-33.5,-7.42,false
27,5.8,35.53,false
28,5.51,11.94,false
29,-43.02,-28.13,false
30,-47.83,49.16,false
31,-8.92,43.76,false
32,24.85,22.14,false
33,-44.35,-28.82,false
34,-21.38,25.22,false
35,-34.55,28.83,false
36,-38.21,38.69,false
37,-29.68,-36.68,false
38,-44.93,-4.5,false
39,-8.62,-27.78,false
40,-39.97,-46.07,false
41,-46.55,46.26,false
42,-33.14,13.99,false
43,-12.11,12.56,false
44,-29.85,-8.09,false
45,-44.65,-9.84,false
46,37.45,-32.72,false
47,34.86,-31.04,false
48,-27.37,-5.57,false
49,-0.82,-43.69,false
50,-8.28,18.17,false
51,-44.64,-32.11,false
52,-1.64,7.65,false
53,-43.46,42.45,false
54,-33.28,-48.2,false
55,6.45,12.25,false
56,20.78,-29.26,false
57,-1.98,-42.71,false
58,-36.64,-20.95,false
59,-36.41,-39.97,false
60,-41.33,20.99,false
61,38.58,9.25,false
62,5.59,8.67,false
63,-9.7,-9.49,false
64,-0.05,-27.73,false
65,-5.32,-14.18,false
66,-0.61,-19.15,false
67,22.22,38.49,false
68,1.48,13.35,false
69,29.61,-21.2,false
70,40.16,11.02,false
71,48.41,25.26,false
72,-6.18,29.96,false
73,-19.11,-32.95,false
74,-39.63,25.72,false
75,-19.03,-26.19,false
76,-49.56,-14.81,false
77,12.82,29.18,false
78,28.26,-2.8,false
79,33.82,-26.41,false
80,23.69,24.43,false
81,20.68,-23.74,false
82,12.52,1.37,false
83,13.81,-22.68,false
84,-47.27,-14.37,false
85,-31.94,-23.71,false
86,-21.68,47.06,false
87,35.23,-32.95,false
88,13.43,-48.97,false
89,30.39,2.98,false
90,-20.04,7.74,false
91,27.03,-32.29,false
92,46.87,34.53,false
93,40.97,-39.43,false
94,40.68,-23.0,false
95,-7.58,42.93,false
96,-19.62,25.93,false
97,-4.4,8.22,false
98,15.53,45.76,false
99,44.46,34.44,false
100,-25.34,14.49,false
101,-1.97,-48.48,false
102,32.19,-6.81,false
103,9.6,-31.83,false
104,21.46,-9.62,false
105,-16.0,44.85,false
106,-13.33,-19.83,false
107,-9.57,-14.1,false
108,4.7,-34.08,false
109,43.69,19.34,false
110,26.81,-38.8,false
111,-44.21,-30.22,false
112,30.42,22.54,false
113,-3.1,-3.47,false
114,-16.78,3.99,false
115,-17.71,32.78,false
116,-5.39,22.52,false
117,-3.68,-39.69,false
118,26.67,43.38,false
119,-16.72,25.04,false
120,36.33,-7.99,false
121,48.25,-8.44,false
122,-3.02,0.69,false
123,39.99,-49.06,false
124,-47.06,-36.79,false
125,-43.3,-13.8,false
126,-48.19,13.07,false
127,-33.94,0.64,false
128,-6.65,0.39,false
129,39.52,25.5,false
130,19.92,-49.19,false
131,-45.16,17.34,false
132,7.03,41.36,false
133,43.95,1.71,false
134,-32.48,-14.12,false
135,-40.98,-39.0,false
136,-29.94,-5.96,false
137,-16.2,-30.92,false
138,-42.71,27.33,false
139,-42.7,-39.15,false
140,-5.89,-46.36,false
141,-5.19,-49.35,false
142,-17.0,16.88,false
143,44.24,29.5,false
144,-34.27,35.87,false
145,-23.87,8.57,false
146,-12.17,9.93,false
147,49.0,0.49,false
148,-9.03,25.52,false
149,-41.94,-46.43,false
150,25.62,-45.32,false
151,-33.24,1.61,false
152,5.85,-42.42,false
153,-32.75,-44.33,false
154,-14.25,36.61,false
155,-14.12,37.6,false
156,-8.07,-40.35,false
157,-46.9,-0.69,false
158,-13.7,-31.35,false
159,-45.71,42.61,false
160,43.15,8.28,false
161,43.06,-29.4,false
162,23.95,44.38,false
163,-5.89,13.84,false
164,15.22,33.58,false
165,-40.18,-1.28,false
166,-21.53,-30.67,false
167,-45.38,18.83,false
168,37.04,-19.06,false
169,20.42,36.95,false
170,12.34,-39.42,false
171,23.88,-43.36,false
172,33.64,-21.59,false
173,-34.63,-47.58,false
174,45.44,12.71,false
175,-23.29,17.85,false
176,24.36,17.84,false
177,34.18,9.82,false
178,-23.79,34.21,false
179,11.54,11.11,false
180,-5.07,-8.5,false
181,-6.05,-18.37,false
182,10.85,-27.42,false
183,-8.96,-18.84,false
184,13.08,-43.97,false
185,18.42,47.16,false
186,5.0,-22.08,false
187,-9.97,37.76,false
188,29.72,-20.81,false
189,14.49,-18.89,false
190,0.51,8.77,false
191,2.2,-16.64,false
192,-9.74,25.84,false
193,43.81,46.12,false
194,-26.51,-44.13,false
195,-47.74,-19.45,false
196,-34.62,-44.78,false
197,41.87,-12.96,false
198,32.21,9.54,false
199,-20.81,34.92,false
200,-40.4,-24.51,false
201,-24.6,-7.38,false
202,33.1,-11.79,false
203,33.54,36.24,false
204,-20.1,-11.14,false
205,-31.15,-3.34,false
206,45.28,-22.94,false
207,8.23,-35.44,false
208,36.62,21.74,false
209,-27.27,-12.87,false
210,17.38,-37.73,false
211,9.47,-37.01,false
212,10.05,-32.53,false
213,36.54,-37.52,false
214,-5.97,15.45,false
215,44.78,5.64,false
216,22.33,-41.58,false
217,-12.42,-36.87,false
218,8.19,39.85,false
219,45.23,11.63,false
220,42.17,1.38,false
221,20.19,-44.31,false
222,24.22,-42.41,false
223,31.26,-32.77,false
224,38.3,-41.97,false
225,46.65,-17.15,false
226,18.46,-19.89,false
227,-2.64,39.97,false
228,-23.38,-49.96,false
229,37.32,-28.66,false
230,39.36,36.42,false
231,-0.3,-28.11,false
232,-13.41,10.29,false
233,-11.64,-3.84,false
234,5.1,-27.93,false
235,-45.54,-35.45,false
236,-34.52,-35.54,false
237,8.26,22.24,false
238,-11.48,-47.99,false
239,49.64,-27.74,false
240,-27.27,41.61,false
241,39.49,44.62,false
242,-28.5,-21.61,false
243,-30.14,5.47,false
244,-2.3,28.8,false
245,9.34,-44.18,false
246,-45.51,7.28,false
247,39.87,7.72,false
248,21.05,49.58,false
249,16.99,-43.46,false
250,-32.84,-49.22,false
251,36.45,-21.5,false
252,-35.19,-39.99,false
253,9.01,48.95,false
254,-30.21,-30.0,false
255,10.01,-33.55,false
256,-11.35,-47.27,false
257,30.02,20.18,false
258,-23.54,-33.96,false
259,46.28,48.65,false
260,27.42,27.13,false
261,-28.71,-31.87,false
262,-17.78,23.51,false
263,-26.07,20.73,false
264,-22.96,7.09,false
265,-25.12,36.18,false
266,43.88,31.26,false
267,-12.83,13.3,false
268,44.42,-26.3,false
269,-32.12,-9.27,false
270,18.95,23.4,false
271,43.61,-2.39,false
272,33.75,-14.56,false
273,14.02,-6.77,false
274,33.29,19.97,false
275,-17.1,-5.14,false
276,15.9,-2.08,false
277,36.6,49.71,false
278,-5.75,-26.51,false
279,29.63,13.62,false
280,5.69,-1.32,false
281,47.51,49.65,false
282,21.28,36.11,false
283,-9.34,-14.58,false
284,-14.28,-24.2,false
285,-8.03,-18.36,false
286,-47.86,-28.77,false
287,28.29,-12.4,false
288,-9.86,49.36,false
289,9.29,4.53,false
290,33.72,-45.18,false
291,3.58,-36.84,false
292,-22.57,27.09,false
293,-16.12,26.8,false
294,25.2,-40.64,false
295,-26.29,-19.33,false
296,-16.33,45.3,false
297,-47.8,-36.71,false
298,37.91,42.35,false
299,-4.38,-44.7,false
300,6.72,-23.81,false
301,26.22,47.5,false
302,-12.97,-39.09,false
303,5.97,48.76,false
304,30.14,14.8,false
305,-26.82,34.56,false
306,4.8,4.17,false
307,-8.96,-42.79,false
308,-19.01,-34.9,false
309,-40.49,-35.74,false
310,3.53,-29.91,false
311,-35.96,-32.89,false
312,-24.75,-36.73,false
313,49.79,-4.33,false
314,-27.39,6.7,false
315,-40.64,-13.98,false
316,-31.87,49.09,false
317,35.12,17.1,false
318,23.56,41.64,false
319,7.81,-27.41,false
320,12.17,-45.66,false
321,18.02,49.12,false
322,-8.48,-3.71,false
323,19.99,8.64,false
324,-35.25,9.24,false
325,22.91,-23.13,false
326,-28.74,-41.09,false
327,48.55,-40.72,false
328,1.44,2.83,false
329,11.32,-36.62,false
330,30.77,27.57,false
331,-34.57,46.04,false
332,8.81,9.25,false
333,8.36,-10.87,false
334,-6.28,28.17,false
335,-16.25,31.18,false
336,-8.96,-32.13,false
337,-7.02,-12.33,false
338,44.04,-5.95,false
339,24.47,-13.57,false
340,-21.4,-36.27,false
341,-29.33,2.89,false
342,34.89,40.59,false
343,46.53,-21.9,false
344,16.26,46.8,false
345,-20.12,11.06,false
346,-48.29,46.16,false
347,-34.51,-35.76,false
348,42.74,-13.6,false
349,9.08,2.04,false
350,-8.23,-5.28,false
351,-6.5,39.15,false
352,-26.73,11.07,false
353,25.53,45.71,false
354,20.9,1.62,false
355,-15.33,-49.34,false
356,-18.75,20.31,false
357,49.22,-27.3,false
358,4.07,-34.96,false
359,-23.13,41.86,false
360,32.76,33.94,false
361,4.64,40.38,false
362,46.5,38.0,false
363,-4.13,8.71,false
364,33.98,-26.21,false
365,-19.42,-32.79,false
366,-31.46,18.45,false
367,45.07,-36.06,false
368,46.78,41.79,false
369,26.08,37.23,false
370,-48.99,23.3,false
371,-47.93,32.52,false
372,-10.79,49.64,false
373,-20.16,14.96,false
374,35.27,0.72,false
375,30.61,29.96,false
376,-4.52,37.38,false
377,16.07,34.15,false
378,13.55,-8.33,false
379,25.29,-31.44,false
380,-34.74,-32.95,false
381,-40.0,37.04,false
382,41.6,3.51,false
383,23.3,39.59,false
384,-36.2,15.07,false
385,-2.25,19.45,false
386,47.99,-5.26,false
387,36.75,-9.22,false
388,24.56,8.41,false
389,41.22,-47.99,false
390,20.92,-7.33,false
391,-10.55,22.04,false
392,-43.86,35.94,false
393,-0.82,-36.03,false
394,-35.59,6.51,false
395,-3.49,46.95,false
396,-33.77,-35.71,false
397,-40.43,-48.38,false
398,-6.45,-27.68,false
399,32.45,23.38,false
