section,id,x,y,area,affected,notes
SENSOR_DATA,0,1010.0,,,,pressure_reading
SENSOR_DATA,1,1008.0,,,,pressure_reading
SENSOR_DATA,2,1005.0,,,,pressure_reading
SENSOR_DATA,3,1001.0,,,,pressure_reading
SENSOR_DATA,4,995.0,,,,pressure_reading
SENSOR_DATA,5,990.0,,,,pressure_reading
SENSOR_DATA,6,988.0,,,,pressure_reading
SALT_PANS,0,10.0,10,1000,False,Pan_0
SALT_PANS,1,12.0,11,1500,False,Pan_1
SALT_PANS,2,20.0,20,1300,False,Pan_2
SALT_PANS,3,25.0,19,2000,False,Pan_3
SALT_PANS,4,30.0,35,1800,False,Pan_4
SALT_PANS,5,40.0,40,2200,False,Pan_5
STORM_PARAM,center_x,15.0,,,,
STORM_PARAM,center_y,15.0,,,,
STORM_PARAM,radius,12.0,,,,
NEIGHBOR_DIST,threshold,8.0,,,,
SENSOR_DATA,0,992.338,,,,Pressure_Reading
SENSOR_DATA,1,990.519,,,,Pressure_Reading
SENSOR_DATA,2,1008.759,,,,Pressure_Reading
SENSOR_DATA,3,1013.377,,,,Pressure_Reading
SENSOR_DATA,4,1007.984,,,,Pressure_Reading
SENSOR_DATA,5,1013.548,,,,Pressure_Reading
SENSOR_DATA,6,992.072,,,,Pressure_Reading
SENSOR_DATA,7,1008.785,,,,Pressure_Reading
SENSOR_DATA,8,995.272,,,,Pressure_Reading
SENSOR_DATA,9,995.587,,,,Pressure_Reading
SENSOR_DATA,10,986.214,,,,Pressure_Reading
SENSOR_DATA,11,988.211,,,,Pressure_Reading
SENSOR_DATA,12,1016.158,,,,Pressure_Reading
SENSOR_DATA,13,1010.145,,,,Pressure_Reading
SENSOR_DATA,14,1019.954,,,,Pressure_Reading
SENSOR_DATA,15,1001.857,,,,Pressure_Reading
SENSOR_DATA,16,1006.679,,,,Pressure_Reading
SENSOR_DATA,17,1001.282,,,,Pressure_Reading
SENSOR_DATA,18,989.259,,,,Pressure_Reading
SENSOR_DATA,19,1005.723,,,,Pressure_Reading
SENSOR_DATA,20,997.907,,,,Pressure_Reading
SENSOR_DATA,21,1006.477,,,,Pressure_Reading
SENSOR_DATA,22,989.695,,,,Pressure_Reading
SENSOR_DATA,23,1007.978,,,,Pressure_Reading
SENSOR_DATA,24,984.644,,,,Pressure_Reading
SENSOR_DATA,25,983.195,,,,Pressure_Reading
SENSOR_DATA,26,1017.416,,,,Pressure_Reading
SENSOR_DATA,27,997.119,,,,Pressure_Reading
SENSOR_DATA,28,990.312,,,,Pressure_Reading
SENSOR_DATA,29,1008.959,,,,Pressure_Reading
SENSOR_DATA,30,1013.332,,,,Pressure_Reading
SENSOR_DATA,31,997.477,,,,Pressure_Reading
SENSOR_DATA,32,995.97,,,,Pressure_Reading
SENSOR_DATA,33,987.659,,,,Pressure_Reading
SENSOR_DATA,34,981.717,,,,Pressure_Reading
SENSOR_DATA,35,986.178,,,,Pressure_Reading
SENSOR_DATA,36,1015.747,,,,Pressure_Reading
SENSOR_DATA,37,999.955,,,,Pressure_Reading
SENSOR_DATA,38,990.141,,,,Pressure_Reading
SENSOR_DATA,39,1001.074,,,,Pressure_Reading
SENSOR_DATA,40,989.518,,,,Pressure_Reading
SENSOR_DATA,41,990.543,,,,Pressure_Reading
SENSOR_DATA,42,1001.208,,,,Pressure_Reading
SENSOR_DATA,43,998.749,,,,Pressure_Reading
SENSOR_DATA,44,999.299,,,,Pressure_Reading
SENSOR_DATA,45,984.712,,,,Pressure_Reading
SENSOR_DATA,46,990.893,,,,Pressure_Reading
SENSOR_DATA,47,987.092,,,,Pressure_Reading
SENSOR_DATA,48,995.223,,,,Pressure_Reading
SENSOR_DATA,49,987.355,,,,Pressure_Reading
SALT_PANS,0,12.0,6,2941,True,Pan_0
SALT_PANS,1,38.0,29,2832,False,Pan_1
SALT_PANS,2,11.0,33,1475,False,Pan_2
SALT_PANS,3,17.0,12,1669,True,Pan_3
SALT_PANS,4,0.0,41,2896,False,Pan_4
SALT_PANS,5,35.0,19,1529,False,Pan_5
SALT_PANS,6,30.0,38,2958,False,Pan_6
SALT_PANS,7,19.0,48,2514,False,Pan_7
SALT_PANS,8,33.0,45,1905,False,Pan_8
SALT_PANS,9,1.0,37,2050,False,Pan_9
SALT_PANS,10,40.0,42,2974,False,Pan_10
SALT_PANS,11,46.0,7,1597,False,Pan_11
SALT_PANS,12,49.0,11,2768,False,Pan_12
SALT_PANS,13,10.0,33,1857,False,Pan_13
SALT_PANS,14,50.0,29,599,False,Pan_14
SALT_PANS,15,15.0,33,1537,False,Pan_15
SALT_PANS,16,40.0,44,1083,False,Pan_16
SALT_PANS,17,5.0,19,2738,True,Pan_17
SALT_PANS,18,34.0,43,2170,False,Pan_18
SALT_PANS,19,27.0,19,2067,False,Pan_19
SALT_PANS,20,16.0,20,2226,True,Pan_20
SALT_PANS,21,48.0,39,1331,False,Pan_21
SALT_PANS,22,26.0,20,2202,False,Pan_22
SALT_PANS,23,43.0,22,2222,False,Pan_23
SALT_PANS,24,12.0,44,2033,False,Pan_24
SALT_PANS,25,21.0,1,2889,False,Pan_25
SALT_PANS,26,39.0,40,2393,False,Pan_26
SALT_PANS,27,5.0,36,1736,False,Pan_27
SALT_PANS,28,23.0,44,1551,False,Pan_28
SALT_PANS,29,50.0,4,1940,False,Pan_29
SALT_PANS,30,35.0,38,2259,False,Pan_30
SALT_PANS,31,30.0,21,865,False,Pan_31
SALT_PANS,32,5.0,20,846,True,Pan_32
SALT_PANS,33,15.0,31,1286,False,Pan_33
SALT_PANS,34,32.0,27,691,False,Pan_34
SALT_PANS,35,12.0,19,796,True,Pan_35
SALT_PANS,36,7.0,40,1390,False,Pan_36
SALT_PANS,37,37.0,23,2596,False,Pan_37
SALT_PANS,38,39.0,1,2767,False,Pan_38
SALT_PANS,39,11.0,10,1422,True,Pan_39
SALT_PANS,40,4.0,5,1055,False,Pan_40
SALT_PANS,41,44.0,6,2771,False,Pan_41
SALT_PANS,42,43.0,39,2352,False,Pan_42
SALT_PANS,43,5.0,13,1180,True,Pan_43
SALT_PANS,44,31.0,48,745,False,Pan_44
SALT_PANS,45,32.0,16,1909,False,Pan_45
SALT_PANS,46,12.0,40,2657,False,Pan_46
SALT_PANS,47,32.0,28,765,False,Pan_47
SALT_PANS,48,1.0,25,2936,False,Pan_48
SALT_PANS,49,5.0,17,2020,True,Pan_49
SALT_PANS,50,34.0,17,1848,False,Pan_50
SALT_PANS,51,10.0,11,1481,True,Pan_51
SALT_PANS,52,46.0,1,2945,False,Pan_52
SALT_PANS,53,25.0,11,579,True,Pan_53
SALT_PANS,54,7.0,29,1720,False,Pan_54
SALT_PANS,55,28.0,18,2242,False,Pan_55
SALT_PANS,56,35.0,1,915,False,Pan_56
SALT_PANS,57,24.0,13,1729,True,Pan_57
SALT_PANS,58,4.0,41,501,False,Pan_58
SALT_PANS,59,43.0,30,2290,False,Pan_59
SALT_PANS,60,43.0,14,1404,False,Pan_60
SALT_PANS,61,0.0,6,2802,False,Pan_61
SALT_PANS,62,4.0,43,2238,False,Pan_62
SALT_PANS,63,17.0,49,1092,False,Pan_63
SALT_PANS,64,32.0,21,1490,False,Pan_64
SALT_PANS,65,44.0,43,1925,False,Pan_65
SALT_PANS,66,32.0,45,1833,False,Pan_66
SALT_PANS,67,14.0,15,2769,True,Pan_67
SALT_PANS,68,13.0,15,2536,True,Pan_68
SALT_PANS,69,49.0,25,666,False,Pan_69
SALT_PANS,70,1.0,30,604,False,Pan_70
SALT_PANS,71,37.0,10,1960,False,Pan_71
SALT_PANS,72,22.0,48,1744,False,Pan_72
SALT_PANS,73,46.0,21,2832,False,Pan_73
SALT_PANS,74,43.0,1,1697,False,Pan_74
SALT_PANS,75,5.0,28,2507,False,Pan_75
SALT_PANS,76,4.0,18,2670,True,Pan_76
SALT_PANS,77,39.0,22,919,False,Pan_77
SALT_PANS,78,47.0,7,1645,False,Pan_78
SALT_PANS,79,26.0,30,1338,False,Pan_79
SALT_PANS,80,49.0,35,769,False,Pan_80
SALT_PANS,81,34.0,0,1682,False,Pan_81
SALT_PANS,82,41.0,23,1183,False,Pan_82
SALT_PANS,83,20.0,10,1087,True,Pan_83
SALT_PANS,84,40.0,22,1509,False,Pan_84
SALT_PANS,85,23.0,32,2887,False,Pan_85
SALT_PANS,86,6.0,32,1214,False,Pan_86
SALT_PANS,87,12.0,9,1298,True,Pan_87
SALT_PANS,88,1.0,4,967,False,Pan_88
SALT_PANS,89,11.0,16,2551,True,Pan_89
SALT_PANS,90,44.0,11,1027,False,Pan_90
SALT_PANS,91,49.0,36,2030,False,Pan_91
SALT_PANS,92,5.0,19,2728,True,Pan_92
SALT_PANS,93,11.0,11,673,True,Pan_93
SALT_PANS,94,30.0,50,1453,False,Pan_94
SALT_PANS,95,17.0,22,1630,True,Pan_95
SALT_PANS,96,14.0,28,1105,False,Pan_96
SALT_PANS,97,1.0,15,923,False,Pan_97
SALT_PANS,98,34.0,2,1856,False,Pan_98
SALT_PANS,99,50.0,11,2596,False,Pan_99
SALT_PANS,100,22.0,25,2113,False,Pan_100
SALT_PANS,101,7.0,4,1944,False,Pan_101
SALT_PANS,102,4.0,20,1525,False,Pan_102
SALT_PANS,103,2.0,27,1617,False,Pan_103
SALT_PANS,104,3.0,37,1371,False,Pan_104
SALT_PANS,105,10.0,34,2046,False,Pan_105
SALT_PANS,106,7.0,0,1269,False,Pan_106
SALT_PANS,107,0.0,41,1742,False,Pan_107
SALT_PANS,108,9.0,25,1445,True,Pan_108
SALT_PANS,109,20.0,33,1225,False,Pan_109
SALT_PANS,110,10.0,28,614,False,Pan_110
SALT_PANS,111,34.0,27,2349,False,Pan_111
SALT_PANS,112,44.0,0,1439,False,Pan_112
SALT_PANS,113,3.0,7,1860,False,Pan_113
SALT_PANS,114,35.0,21,513,False,Pan_114
SALT_PANS,115,2.0,2,690,False,Pan_115
SALT_PANS,116,14.0,41,2999,False,Pan_116
SALT_PANS,117,49.0,48,2598,False,Pan_117
SALT_PANS,118,9.0,45,2724,False,Pan_118
SALT_PANS,119,33.0,15,2847,False,Pan_119
SALT_PANS,120,17.0,7,1456,True,Pan_120
SALT_PANS,121,23.0,26,544,False,Pan_121
SALT_PANS,122,44.0,7,501,False,Pan_122
SALT_PANS,123,15.0,24,1368,True,Pan_123
SALT_PANS,124,11.0,19,1295,True,Pan_124
SALT_PANS,125,25.0,45,1564,False,Pan_125
SALT_PANS,126,35.0,46,2319,False,Pan_126
SALT_PANS,127,44.0,28,1316,False,Pan_127
SALT_PANS,128,38.0,33,926,False,Pan_128
SALT_PANS,129,12.0,22,1880,True,Pan_129
SALT_PANS,130,37.0,25,2690,False,Pan_130
SALT_PANS,131,23.0,11,1870,True,Pan_131
SALT_PANS,132,50.0,3,2840,False,Pan_132
SALT_PANS,133,8.0,21,1054,True,Pan_133
SALT_PANS,134,2.0,34,1239,False,Pan_134
SALT_PANS,135,3.0,39,2653,False,Pan_135
SALT_PANS,136,14.0,46,896,False,Pan_136
SALT_PANS,137,44.0,9,649,False,Pan_137
SALT_PANS,138,6.0,24,2263,False,Pan_138
SALT_PANS,139,35.0,48,1953,False,Pan_139
SALT_PANS,140,26.0,0,2341,False,Pan_140
SALT_PANS,141,50.0,49,2865,False,Pan_141
SALT_PANS,142,25.0,30,1509,False,Pan_142
SALT_PANS,143,42.0,4,603,False,Pan_143
SALT_PANS,144,24.0,9,2388,True,Pan_144
SALT_PANS,145,42.0,50,2195,False,Pan_145
SALT_PANS,146,30.0,5,2057,False,Pan_146
